pers_id,first_name,last_name,birthdate,nationality
b041ef34-54cd-44c4-8f62-0390b6da91a5,Jill,Garcia,1939-09-28,Congo
48aa8145-37ce-45fd-8769-9d8e462024af,Kathy,Sanchez,1975-08-14,Costa Rica
754d1022-3c75-4a11-b47f-ddb6bd2bb641,Shane,Rodriguez,2002-10-05,Faroe Islands
98e9831b-6780-4347-a9c2-b502f2c8f0d8,Allen,Smith,1977-08-20,Saint Vincent and the Grenadines
8923b954-6ef4-4929-a27e-6be652ed08f6,Shannon,Hooper,1937-06-23,Botswana
5d068c41-5551-4458-a986-4bad8df1e9cb,Jody,Fletcher,1958-08-03,Brazil
0fbf0b89-e166-4780-9a3b-5eed9e291d94,Susan,Schultz,1984-09-21,Angola
8ae0324c-b2c9-466c-9ca2-cbd768ff0874,Ann,Moore,1997-08-07,Monaco
8cf0c2b9-aa68-47d2-ae95-4068e1d43ccd,Logan,Nelson,2000-11-25,Bahamas
64efa38f-3fb8-4298-87e0-bef9a4662d1d,Christine,Garcia,1991-05-22,North Macedonia
aebdffca-8118-4a42-a429-bd32af823e9a,Edward,Fox,1996-01-23,Malaysia
ac3b523e-3a81-4b30-986b-02d93ee0373d,Jeffrey,Carpenter,1994-09-27,Macao
f78a598a-809a-416f-9fd0-9ea733c91b0d,Charles,Kelly,1950-10-18,Singapore
ef6c5fd7-115e-4e2c-9008-96ed2cc39f98,Abigail,Hall,1998-05-24,Latvia
69963ff1-c8b0-4c9f-922d-6f08740167ae,Mary,Mcintyre,1950-07-01,Croatia
175e661f-da58-42dc-9205-5de24d9a7c25,Aimee,Davis,1936-01-07,Aruba
f183ba19-0dae-4647-996b-758dee7bb20f,Karen,Carlson,1974-01-05,Kiribati
cd75006e-6901-4b23-917c-010453f94cc3,Aaron,Fuller,1970-04-15,San Marino
71e7e36b-d305-4241-a13a-0fc1fdeaae3a,David,Gardner,2005-03-21,Poland
38b2e1f4-ac86-4a55-b312-30eb5c5b29c2,Steven,Smith,1941-04-30,Egypt
8f6f13a5-0f33-4880-b2e5-f8a3f2976bc2,Angela,Cruz,1944-09-02,Bolivia
97b5bd92-e52a-483a-a367-708802d73571,Anthony,Garcia,1993-07-26,Poland
05e51e25-040e-4b76-b1d5-e4efd10b89ee,Michael,Flores,1959-02-23,Niger
a7edadb4-0a22-4832-a0a4-43939a622309,Karen,Wade,1962-11-15,Gabon
c6248989-0591-47a6-8dac-e87d879e47f5,Raymond,Meyers,1992-06-14,Armenia
14312697-d64e-47c7-b396-2dc9f8a0dc9a,Amanda,Sanders,1981-08-05,Cyprus
a39f731a-fa66-4460-90ad-b05cd5236552,Susan,Hale,1994-01-07,Bahrain
7aea88fa-f0a1-4c6b-8186-8d9314db1150,Gary,Sutton,1967-08-14,Palestinian Territory
afc901a5-df53-479f-bff3-37d24be81ee9,Ruben,Patterson,1983-09-16,Bhutan
902dbc52-8440-4f5e-8c45-e7b0edd60910,Jonathan,Freeman,1941-02-03,Mongolia
7c493ee7-3c82-4623-a6cf-7aa2a6230fcd,Leah,Juarez,1956-10-19,Nauru
5174573a-0bd0-46c1-b76d-d032de6f5324,Patrick,Delgado,1968-09-19,Mexico
